id,latitude,longitude
245660365,19.0132009,72.8238738
245660369,19.0132657,72.8550195
245660380,19.0130543,72.8280716
245660381,19.0133383,72.8336388
245660540,19.0152128,72.8323361
245660549,19.0153528,72.8274206
245660595,19.0160062,72.8348437
245660619,19.0165631,72.8432892
245660634,19.0161166,72.8398745
245660650,19.0159934,72.8294231
245660696,19.0168673,72.8586486
245660722,19.0183676,72.8655363
245660731,19.0170238,72.8380555
245660818,19.0177596,72.8355669
245660832,19.0179501,72.8474218
245660921,19.0185126,72.835894
245660938,19.0185648,72.8331378
245660948,19.0189207,72.8589907
245661018,19.0194359,72.8404158
245661074,19.0198767,72.8322146
245661107,19.0201255,72.8494579
245661117,19.0199026,72.8541704
245661134,19.0203509,72.841158
245661148,19.0203455,72.8534815
245661185,19.0210296,72.8421558
245661288,19.0221655,72.8508854
245661295,19.0217944,72.836347
245661298,19.0225542,72.8499194
245661369,19.0227558,72.8343582
245661595,19.0251444,72.8456289
245661627,19.0254641,72.8357626
245661730,19.0263695,72.8551039
245661837,19.0270808,72.8548364
245661871,19.0281605,72.8413737
245662037,19.029275,72.8572359
245662128,19.0309092,72.8486644
245662191,19.0291033,72.9251283
245662295,19.0315329,72.8420022
245662297,19.0312301,72.8489167
245662337,19.0323075,72.8386
245662339,19.0317146,72.8457871
245662564,19.0344627,72.8626525
245662605,19.0350975,72.8597535
245662629,19.0351942,72.8468811
245662630,19.0351508,72.8478376
245662637,19.0357535,72.8396512
245662638,19.0356303,72.8402653
245662645,19.0358761,72.8390308
245662646,19.0354004,72.8423137
245662681,19.0359544,72.8401288
245662760,19.0370251,72.8422532
245662773,19.0370926,72.8390194
245662834,19.0376964,72.8450829
245662850,19.0375332,72.846637
245662851,19.0375907,72.8474825
245662886,19.0379934,72.8537523
245662966,19.0388998,72.8418706
245663085,19.0398805,72.8468082
245663367,19.0415813,72.8559669
245663409,19.0428199,72.8400528
245663476,19.0429959,72.9252136
245663569,19.0433885,72.8452286
245663666,19.0444178,72.8644135
245663708,19.0443779,72.8447173
245663765,19.0455324,72.9140531
245663814,19.0457935,72.8424153
245663848,19.0468098,72.8518556
245663849,19.0455683,72.8636984
245663877,19.0460893,72.9094591
245663884,19.0476041,72.8527479
